Removed Pin From Net: NetName=NetC42_2 Pin=U7-6
Change Component Comment : Designator=TP19 Old Comment=AGND New Comment=GND
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=GND Pin=C7-1
Added Pin To Net: NetName=GND Pin=C8-1
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=GND Pin=C10-1
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=GND Pin=C14-1
Added Pin To Net: NetName=GND Pin=C15-1
Added Pin To Net: NetName=GND Pin=C16-1
Added Pin To Net: NetName=GND Pin=C17-1
Added Pin To Net: NetName=GND Pin=C18-1
Added Pin To Net: NetName=GND Pin=C19-1
Added Pin To Net: NetName=GND Pin=C20-1
Added Pin To Net: NetName=GND Pin=C21-1
Added Pin To Net: NetName=GND Pin=J2-01
Added Pin To Net: NetName=GND Pin=J2-02
Added Pin To Net: NetName=GND Pin=J2-04
Added Pin To Net: NetName=GND Pin=J2-06
Added Pin To Net: NetName=GND Pin=J2-08
Added Pin To Net: NetName=GND Pin=J2-10
Added Pin To Net: NetName=GND Pin=J2-13
Added Pin To Net: NetName=GND Pin=J2-14
Added Pin To Net: NetName=GND Pin=J2-16
Added Pin To Net: NetName=GND Pin=J2-18
Added Pin To Net: NetName=GND Pin=J2-20
Added Pin To Net: NetName=GND Pin=J2-22
Added Pin To Net: NetName=GND Pin=J2-25
Added Pin To Net: NetName=GND Pin=J2-26
Added Pin To Net: NetName=GND Pin=J2-28
Added Pin To Net: NetName=GND Pin=J2-30
Added Pin To Net: NetName=GND Pin=J2-32
Added Pin To Net: NetName=GND Pin=J2-34
Added Pin To Net: NetName=GND Pin=J2-37
Added Pin To Net: NetName=GND Pin=J2-38
Added Pin To Net: NetName=GND Pin=J2-40
Added Pin To Net: NetName=GND Pin=J2-42
Added Pin To Net: NetName=GND Pin=J2-44
Added Pin To Net: NetName=GND Pin=J2-46
Added Pin To Net: NetName=GND Pin=J2-49
Added Pin To Net: NetName=GND Pin=J2-50
Added Pin To Net: NetName=GND Pin=J3-02
Added Pin To Net: NetName=GND Pin=J3-04
Added Pin To Net: NetName=GND Pin=J3-06
Added Pin To Net: NetName=GND Pin=J3-08
Added Pin To Net: NetName=GND Pin=J3-10
Added Pin To Net: NetName=GND Pin=J3-12
Added Pin To Net: NetName=GND Pin=J3-14
Added Pin To Net: NetName=GND Pin=J3-16
Added Pin To Net: NetName=GND Pin=J3-18
Added Pin To Net: NetName=GND Pin=J3-20
Added Pin To Net: NetName=GND Pin=J3-22
Added Pin To Net: NetName=GND Pin=J3-24
Added Pin To Net: NetName=GND Pin=J3-26
Added Pin To Net: NetName=GND Pin=J3-28
Added Pin To Net: NetName=GND Pin=J3-30
Added Pin To Net: NetName=GND Pin=J3-32
Added Pin To Net: NetName=GND Pin=J3-34
Added Pin To Net: NetName=GND Pin=J3-36
Added Pin To Net: NetName=GND Pin=J3-38
Added Pin To Net: NetName=GND Pin=J3-40
Added Pin To Net: NetName=GND Pin=R3-1
Added Pin To Net: NetName=GND Pin=R6-2
Added Pin To Net: NetName=GND Pin=R9-1
Added Pin To Net: NetName=GND Pin=R12-2
Added Pin To Net: NetName=GND Pin=TP19-1
Added Pin To Net: NetName=NetC42_2 Pin=U7-6
